|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29
0|1993|삼성|24|1B|106|456|381|82|130|27|1|23|228|90|4|9|61|8|6|40|7|0|6|0.341|0.436|0.598|1.035|0.468|212.0|6.85
0|1994|삼성|25|DH|123|496|427|62|128|21|1|19|208|87|15|4|63|0|7|42|7|1|5|0.300|0.386|0.487|0.873|0.393|151.0|4.22
0|1995|삼성|26|LF|125|527|438|81|137|34|1|20|233|84|8|2|77|6|8|50|7|0|6|0.313|0.418|0.532|0.949|0.422|174.5|6.68
0|1996|삼성|27|RF|126|530|436|89|151|33|2|28|272|87|23|18|82|6|8|76|4|0|5|0.346|0.452|0.624|1.076|0.474|207.0|8.56
0|1997|삼성|28|RF|126|561|442|94|145|32|5|30|277|98|25|17|103|7|27|75|7|0|8|0.328|0.455|0.627|1.082|0.457|189.3|8.17
0|1998|삼성|29|DH|126|552|456|80|156|30|1|27|269|89|15|14|87|5|26|69|14|0|3|0.342|0.450|0.590|1.040|0.442|181.7|6.20
0|1999|해태|30|DH|131|588|496|96|160|23|1|32|281|105|21|12|82|5|7|68|14|1|4|0.323|0.421|0.567|0.987|0.422|150.2|4.71
0|2000|LG|31|DH|117|514|432|79|135|30|2|15|214|92|15|4|73|5|4|65|6|0|3|0.313|0.415|0.495|0.911|0.404|144.0|4.03
0|2001|LG|32|DH|124|531|439|79|156|20|3|14|224|92|12|5|80|1|4|55|9|2|8|0.355|0.449|0.510|0.959|0.431|155.7|4.79
0|2002|삼성|33|RF|132|437|391|60|108|23|2|14|177|50|2|3|39|5|3|56|9|0|1|0.276|0.349|0.453|0.801|0.352|116.4|2.37
0|2003|삼성|34|LF|133|551|490|90|161|37|2|33|301|92|2|5|49|6|2|49|13|4|2|0.329|0.395|0.614|1.009|0.435|166.3|6.21
0|2004|삼성|35|1B|133|584|479|95|151|30|0|28|265|103|5|2|89|13|8|53|10|1|2|0.315|0.434|0.553|0.987|0.439|167.5|6.37
0|2005|삼성|36|DH|124|463|394|61|103|15|1|13|159|50|10|3|62|5|5|44|16|0|2|0.261|0.367|0.404|0.771|0.355|115.0|1.79
0|2006|삼성|37|DH|126|533|413|63|125|31|1|13|197|81|12|7|103|9|10|43|11|1|7|0.303|0.446|0.477|0.923|0.421|172.7|5.45
0|2007|삼성|38|DH|123|544|442|78|149|34|0|22|249|72|20|8|91|7|15|44|12|1|2|0.337|0.456|0.563|1.019|0.455|187.9|6.72
0|2008|삼성|39|DH|114|443|385|49|107|16|2|8|151|49|1|1|46|7|4|37|10|2|2|0.278|0.364|0.392|0.756|0.352|111.9|1.40
0|2009|삼성|40|DH|82|322|249|51|82|16|0|11|131|48|3|4|63|4|4|24|7|1|5|0.329|0.464|0.526|0.990|0.438|158.6|2.71
